date,code,name,close_price,high_price,low_price,open_price,yest_close_price,diff,diff_ratio,volume,amount
2000-09-21,000001,sh,1907.306,1927.515,1905.653,1924.83,1922.289,-14.983,-0.7794,6394554,6612151880.0
2000-09-20,000001,sh,1922.289,1922.295,1892.276,1902.912,1903.154,19.135,1.0054,7043396,6771358750.0
2000-09-19,000001,sh,1903.154,1937.367,1895.49,1937.319,1946.753,-43.599,-2.2396,9195399,8235510630.0
2000-09-18,000001,sh,1946.753,1981.129,1946.176,1979.53,1978.434,-31.681,-1.6013,6892538,6592223130.0
2000-09-15,000001,sh,1978.434,1978.469,1966.879,1978.037,1979.505,-1.071,-0.0541,6331164,6354914380.0
2000-09-14,000001,sh,1979.505,1992.366,1973.021,1989.974,1988.936,-9.431,-0.4742,6467591,6688828750.0
2000-09-13,000001,sh,1988.936,1995.317,1975.126,1980.528,1979.095,9.841,0.4972,8889416,8087867500.0
2000-09-12,000001,sh,1979.095,1979.322,1965.401,1975.412,1972.043,7.052,0.3576,6688864,7086691880.0
2000-09-11,000001,sh,1972.043,1972.076,1956.078,1963.271,1959.312,12.731,0.6498,7355435,7516738750.0
2000-09-08,000001,sh,1959.312,1963.891,1945.918,1955.153,1950.663,8.649,0.4434,7223218,7371941880.0
2000-09-07,000001,sh,1950.663,1963.228,1929.296,1929.296,1925.907,24.756,1.2854,8466657,7901185630.0
2000-09-06,000001,sh,1925.907,1964.265,1923.598,1955.499,1963.792,-37.885,-1.9292,11017267,9345979380.0
2000-09-05,000001,sh,1963.792,2020.847,1959.592,2015.062,2010.602,-46.81,-2.3282,9851131,9262016250.0
2000-09-04,000001,sh,2010.602,2010.602,1981.229,1994.885,1999.859,10.743,0.5372,9840289,9851581250.0
2000-09-01,000001,sh,1999.859,2026.351,1997.717,2009.151,2021.199,-21.34,-1.0558,12795555,12399443750.0
2000-08-31,000001,sh,2021.199,2064.76,2019.447,2062.835,2076.143,-54.944,-2.6464,16110624,14624561250.0
2000-08-30,000001,sh,2076.143,2108.097,2075.16,2107.019,2105.476,-29.333,-1.3932,13380507,14229566250.0
2000-08-29,000001,sh,2105.476,2105.634,2094.609,2103.033,2100.585,4.891,0.2328,14521684,13895733750.0
2000-08-28,000001,sh,2100.585,2100.7,2085.601,2092.122,2086.703,13.882,0.6653,13832498,14829901250.0
2000-08-25,000001,sh,2086.703,2086.721,2066.329,2073.715,2071.161,15.542,0.7504,12290483,13769837500.0
2000-08-24,000001,sh,2071.161,2073.947,2043.206,2058.529,2057.919,13.242,0.6435,17246856,17520897500.0
2000-08-23,000001,sh,2057.919,2080.144,1980.345,2064.045,2074.703,-16.784,-0.809,26378898,23937117500.0
2000-08-22,000001,sh,2074.703,2114.522,2074.52,2112.017,2108.69,-33.987,-1.6118,16052733,16088882500.0
2000-08-21,000001,sh,2108.69,2108.879,2093.418,2095.378,2090.183,18.507,0.8854,15859304,16773112500.0
2000-08-18,000001,sh,2090.183,2097.315,2086.754,2093.632,2091.586,-1.403,-0.0671,12564344,13224835000.0
2000-08-17,000001,sh,2091.586,2092.329,2086.559,2086.809,2083.467,8.119,0.3897,13925760,14119773750.0
2000-08-16,000001,sh,2083.467,2083.467,2072.984,2078.485,2076.823,6.644,0.3199,15420303,14042773750.0
2000-08-15,000001,sh,2076.823,2082.736,2066.16,2079.069,2076.3,0.523,0.0252,13479279,13165632500.0
2000-08-14,000001,sh,2076.3,2076.328,2065.935,2065.935,2062.666,13.634,0.661,15170757,14327613750.0
2000-08-11,000001,sh,2062.666,2070.298,2055.2,2067.784,2065.943,-3.277,-0.1586,15313964,15937086250.0
2000-08-10,000001,sh,2065.943,2067.745,2053.861,2065.305,2061.18,4.763,0.2311,17379430,18483252500.0
2000-08-09,000001,sh,2061.18,2061.284,2048.494,2051.654,2049.916,11.264,0.5495,16350866,16297691250.0
2000-08-08,000001,sh,2049.916,2050.073,2040.783,2042.745,2039.419,10.497,0.5147,13738001,13860685000.0
2000-08-07,000001,sh,2039.419,2039.419,2017.903,2025.182,2026.361,13.058,0.6444,13716475,13566323750.0
2000-08-04,000001,sh,2026.361,2041.283,2013.45,2037.468,2036.301,-9.94,-0.4881,19597136,15521478750.0
2000-08-03,000001,sh,2036.301,2038.654,2030.101,2032.937,2030.683,5.618,0.2767,18321318,14065342500.0
2000-08-02,000001,sh,2030.683,2033.191,2018.481,2030.789,2028.151,2.532,0.1248,23905316,12945081250.0
2000-08-01,000001,sh,2028.151,2031.925,2023.453,2027.013,2023.539,4.612,0.2279,21187984,12749637500.0
2000-07-31,000001,sh,2023.539,2023.568,2008.637,2016.144,2012.793,10.746,0.5339,17173844,15897711250.0
2000-07-28,000001,sh,2012.793,2016.94,2006.172,2014.113,2012.35,0.443,0.022,14896658,13794091250.0
2000-07-27,000001,sh,2012.35,2024.998,2004.549,2017.457,2012.319,0.031,0.0015,17398156,15298522500.0
2000-07-26,000001,sh,2012.319,2012.395,1999.403,1999.442,1996.577,15.742,0.7884,15163567,12324952500.0
2000-07-25,000001,sh,1996.577,1997.849,1989.086,1990.149,1989.239,7.338,0.3689,11272790,11347507500.0
2000-07-24,000001,sh,1989.239,1999.903,1982.881,1998.245,1996.336,-7.097,-0.3555,11897274,11698420000.0
2000-07-21,000001,sh,1996.336,1998.347,1991.838,1994.423,1991.56,4.776,0.2398,11732602,11203135000.0
2000-07-20,000001,sh,1991.56,2003.802,1979.875,1999.089,1998.426,-6.866,-0.3436,17370836,13944018750.0
2000-07-19,000001,sh,1998.426,2004.461,1987.42,2000.33,1993.986,4.44,0.2227,29138588,14962476250.0
2000-07-18,000001,sh,1993.986,1993.994,1981.736,1982.497,1982.479,11.507,0.5804,17563236,12103265000.0
2000-07-17,000001,sh,1982.479,1997.938,1980.223,1992.894,1987.192,-4.713,-0.2372,15845496,15937373750.0
2000-07-14,000001,sh,1987.192,1987.223,1972.622,1981.776,1979.201,7.991,0.4037,16215709,16739455000.0
2000-07-13,000001,sh,1979.201,1984.066,1963.553,1978.552,1973.374,5.827,0.2953,18160108,19719280000.0
2000-07-12,000001,sh,1973.374,1974.414,1960.349,1965.231,1960.541,12.833,0.6546,13919526,15147832500.0
2000-07-11,000001,sh,1960.541,1960.595,1947.666,1952.259,1948.021,12.52,0.6427,14438388,14692242500.0
2000-07-10,000001,sh,1948.021,1948.063,1932.955,1938.843,1932.792,15.229,0.7879,14524627,14360280000.0
